Description,Language,dependecies_found
Pulses in Python,Python,"[""Sphinx"", ""classifiers"", ""coverage"", ""homepage"", ""isort"", ""license"", ""numba"", ""numpy"", ""python"", ""readme"", ""repository"", ""ruff"", ""scipy"", ""sigpy""]"
cash in on DNA barcode tags,Python,"[""click"", ""click-rich-help"", ""polars"", ""rich"", ""tomlkit""]"
Fast analytic raytracing around Kerr black holes,Julia,[]
"OpenCCM is a CFD-based compartment modelling software package. It is primarily intended for convection dominated reactive flows which feature a weak or one-way coupling between the reactive species and the carrier fluid, i.e. the reaction does not substantially influence the fluid flow over the course of the simulation. ",Python,[]
Python colorspace implementation. Documentation available on https://retostauffer.github.io/python-colorspace/. The latest release is available via the Python Package Index (PyPI) via https://pypi.org/project/colorspace/,Python,"[""imageio"", ""matplotlib"", ""pandas""]"
Anything can happen in the next half hour (including spectral timing made easy)!,Python,"[""astropy"", ""docutils"", ""h5py"", ""ipython"", ""jinja2"", ""matplotlib"", ""nbconvert"", ""nbsphinx"", ""numba"", ""numpy"", ""pandoc"", ""pyfftw"", ""pytest"", ""pytest-astropy"", ""pyyaml"", ""scipy"", ""sphinx-astropy"", ""statsmodels"", ""tomli"", ""towncrier""]"
PyXAB - A Python Library for X-Armed Bandit and Online Blackbox Optimization Algorithms,Python,"[""ipython"", ""matplotlib"", ""numpy"", ""pandoc"", ""scikit-learn"", ""setuptools"", ""sphinx-panels"", ""sphinx_gallery""]"
Triple stellar evolution code,Python,"[""astropy"", ""gala"", ""matplotlib"", ""numpy"", ""scipy""]"
Data-driven synthetic turbulence generation based on the Mann model,Python,"[""Sphinx"", ""enum_tools"", ""ipykernel"", ""ipython"", ""jax"", ""matplotlib"", ""myst_parser"", ""nbsphinx"", ""netcdf4"", ""numba"", ""numpy"", ""numpydoc"", ""plotly"", ""polars"", ""pyFFTW"", ""pydata-sphinx-theme"", ""pyevtk"", ""pytest"", ""pytest-cov"", ""ruff"", ""scalene"", ""scikit_learn"", ""scipy"", ""sphinx-copybutton"", ""sphinx-gallery"", ""sphinx-notfound-page"", ""sphinx-panels"", ""sphinx_toolbox"", ""sphinxcontrib-jsmath"", ""sphinxcontrib-mermaid"", ""tensorboard"", ""torch"", ""tqdm"", ""xarray""]"
RobotDART: a versatile robot simulator for robotics and machine learning researchers,C++,[]
A collection of MATLAB scripts for proccesing and visualization of (Multichannel) GPR data,MATLAB,[]
Repository for PlasticParcels tool,Python,"[""geopandas"", ""parcels"", ""pytest"", ""shapely""]"
reusable widgets made easy,Python,"[""annotated-types"", ""anyio"", ""anywidget"", ""appnope"", ""argon2-cffi"", ""argon2-cffi-bindings"", ""arrow"", ""asttokens"", ""async-lru"", ""attrs"", ""babel"", ""backcall"", ""beautifulsoup4"", ""bleach"", ""certifi"", ""cffi"", ""charset-normalizer"", ""colorama"", ""comm"", ""debugpy"", ""decorator"", ""defusedxml"", ""exceptiongroup"", ""executing"", ""fastjsonschema"", ""fqdn"", ""h11"", ""hatch-jupyter-builder"", ""httpcore"", ""httpx"", ""idna"", ""importlib-metadata"", ""importlib-resources"", ""iniconfig"", ""ipykernel"", ""ipython"", ""ipython-pygments-lexers"", ""ipywidgets"", ""isoduration"", ""jedi"", ""jinja2"", ""json5"", ""jsonpointer"", ""jsonschema"", ""jsonschema-specifications"", ""jupyter-client"", ""jupyter-core"", ""jupyter-events"", ""jupyter-lsp"", ""jupyter-server"", ""jupyter-server-terminals"", ""jupyterlab"", ""jupyterlab-pygments"", ""jupyterlab-server"", ""jupyterlab-widgets"", ""markupsafe"", ""matplotlib-inline"", ""mistune"", ""msgspec"", ""mypy"", ""mypy-extensions"", ""nbclient"", ""nbconvert"", ""nbformat"", ""nest-asyncio"", ""notebook-shim"", ""overrides"", ""packaging"", ""pandocfilters"", ""parso"", ""pexpect"", ""pickleshare"", ""pkgutil-resolve-name"", ""platformdirs"", ""pluggy"", ""prometheus-client"", ""prompt-toolkit"", ""psutil"", ""psygnal"", ""ptyprocess"", ""pure-eval"", ""pycparser"", ""pydantic"", ""pydantic-core"", ""pygments"", ""pytest"", ""python-dateutil"", ""python-json-logger"", ""pytz"", ""pywin32"", ""pywinpty"", ""pyyaml"", ""pyzmq"", ""referencing"", ""requests"", ""rfc3339-validator"", ""rfc3986-validator"", ""rpds-py"", ""ruff"", ""send2trash"", ""setuptools"", ""six"", ""sniffio"", ""soupsieve"", ""stack-data"", ""terminado"", ""tinycss2"", ""tomli"", ""tornado"", ""traitlets"", ""types-python-dateutil"", ""typing-extensions"", ""uri-template"", ""urllib3"", ""watchfiles"", ""wcwidth"", ""webcolors"", ""webencodings"", ""websocket-client"", ""widgetsnbextension"", ""zipp""]"
"Conveniently search, download, and process ArcticDEM and REMA products",Jupyter Notebook,[]
Python pipeline to generate mock astrometric and photometric catalogs of synthetic stars derived from particle-based simulated star populations,Python,[]
Linguistic Phylogenetic Analysis in R,R,"[""DT"", ""RColorBrewer"", ""TreeTools"", ""ape"", ""assertthat"", ""castor"", ""dplyr"", ""ggplot2"", ""ggtree"", ""magrittr"", ""plotly"", ""rlang"", ""shiny"", ""shinydashboard"", ""shinyjs"", ""shinythemes"", ""stringr"", ""testthat""]"
Julia interface to MITgcm,Julia,[]
"Standardize, clean, and wrangle Water Quality Portal data into more analytic-ready formats",Python,"[""dataretrieval"", ""descartes"", ""geopandas"", ""mapclassify"", ""numpy"", ""pandas"", ""pint"", ""requests""]"
Optimized workflow management and script handling for atomistic simulations,Python,[]
Automatic and adaptive BZ integration for electronic properties,Julia,[]
R Package for bioimage analysis,HTML,[]
Software to simulate heat transfer for additive manufacturing,C++,"[""Boost"", ""Doxygen"", ""MPI"", ""adiak"", ""application"", ""doc"", ""source"", ""tests""]"
MODULO (MODal mULtiscale pOd) is a software developed at the von Karman Institute to perform Multiscale Modal Analysis of numerical and experimental data using the mPOD. ,HTML,[]
Next generation ODE translator,Python,"[""attrs"", ""black"", ""bump-my-version"", ""clang-format-docs"", ""click"", ""cmake"", ""graphlib-backport"", ""ipython"", ""jax"", ""jupyter-book"", ""jupytext"", ""lark"", ""myokit"", ""numba"", ""pdbpp"", ""pint"", ""pre-commit"", ""pytest"", ""pytest-benchmark"", ""pytest-codspeed"", ""pytest-cov"", ""rich-click"", ""scipy"", ""sphinxcontrib-mermaid"", ""structlog"", ""sympy"", ""toml"", ""twine"", ""typer"", ""typing_extensions"", ""wheel""]"
Software for digital twin research,Python,[]
,,
A pipeline for precise extraction of light curves through forward modelling of a region from time-series wide-field astronomical images,Python,"[""astroalign"", ""astropy"", ""astroquery"", ""astroscrappy"", ""ccdproc"", ""ephem"", ""h5py"", ""matplotlib"", ""numpy"", ""pandas"", ""photutils"", ""pytest"", ""pyyaml"", ""ruamel.yaml"", ""scipy"", ""sep"", ""shapely"", ""starred-astro"", ""widefield_plate_solver""]"
Multicamera Calibration + Pose Estimation --> Open Source Motion Capture,Python,"[""PyOpenGL"", ""absl-py"", ""appnope"", ""asttokens"", ""attrs"", ""babel"", ""backrefs"", ""caliscope"", ""certifi"", ""cffi"", ""cfgv"", ""charset-normalizer"", ""click"", ""colorama"", ""comm"", ""contourpy"", ""cycler"", ""debugpy"", ""decorator"", ""distlib"", ""et-xmlfile"", ""ewmhlib"", ""exceptiongroup"", ""executing"", ""filelock"", ""flatbuffers"", ""fonttools"", ""ghp-import"", ""gitdb"", ""gitpython"", ""identify"", ""idna"", ""iniconfig"", ""ipykernel"", ""ipython"", ""ipython-pygments-lexers"", ""jax"", ""jaxlib"", ""jedi"", ""jinja2"", ""jupyter-client"", ""jupyter-core"", ""kiwisolver"", ""llvmlite"", ""markdown"", ""markupsafe"", ""matplotlib"", ""matplotlib-inline"", ""mediapipe"", ""mergedeep"", ""mkdocs"", ""mkdocs-get-deps"", ""mkdocs-git-revision-date-localized-plugin"", ""mkdocs-material"", ""mkdocs-material-extensions"", ""ml-dtypes"", ""nest-asyncio"", ""nodeenv"", ""numba"", ""numpy"", ""opencv-contrib-python"", ""openpyxl"", ""opt-einsum"", ""packaging"", ""paginate"", ""pandas"", ""parso"", ""pathspec"", ""pexpect"", ""pillow"", ""platformdirs"", ""pluggy"", ""pre-commit"", ""prompt-toolkit"", ""protobuf"", ""psutil"", ""ptyprocess"", ""pure-eval"", ""pyarrow"", ""pycparser"", ""pygments"", ""pymdown-extensions"", ""pymonctl"", ""pyobjc"", ""pyobjc-core"", ""pyobjc-framework-accessibility"", ""pyobjc-framework-accounts"", ""pyobjc-framework-addressbook"", ""pyobjc-framework-adservices"", ""pyobjc-framework-adsupport"", ""pyobjc-framework-applescriptkit"", ""pyobjc-framework-applescriptobjc"", ""pyobjc-framework-applicationservices"", ""pyobjc-framework-apptrackingtransparency"", ""pyobjc-framework-audiovideobridging"", ""pyobjc-framework-authenticationservices"", ""pyobjc-framework-automaticassessmentconfiguration"", ""pyobjc-framework-automator"", ""pyobjc-framework-avfoundation"", ""pyobjc-framework-avkit"", ""pyobjc-framework-avrouting"", ""pyobjc-framework-backgroundassets"", ""pyobjc-framework-browserenginekit"", ""pyobjc-framework-businesschat"", ""pyobjc-framework-calendarstore"", ""pyobjc-framework-callkit"", ""pyobjc-framework-carbon"", ""pyobjc-framework-cfnetwork"", ""pyobjc-framework-cinematic"", ""pyobjc-framework-classkit"", ""pyobjc-framework-cloudkit"", ""pyobjc-framework-cocoa"", ""pyobjc-framework-collaboration"", ""pyobjc-framework-colorsync"", ""pyobjc-framework-contacts"", ""pyobjc-framework-contactsui"", ""pyobjc-framework-coreaudio"", ""pyobjc-framework-coreaudiokit"", ""pyobjc-framework-corebluetooth"", ""pyobjc-framework-coredata"", ""pyobjc-framework-corehaptics"", ""pyobjc-framework-corelocation"", ""pyobjc-framework-coremedia"", ""pyobjc-framework-coremediaio"", ""pyobjc-framework-coremidi"", ""pyobjc-framework-coreml"", ""pyobjc-framework-coremotion"", ""pyobjc-framework-coreservices"", ""pyobjc-framework-corespotlight"", ""pyobjc-framework-coretext"", ""pyobjc-framework-corewlan"", ""pyobjc-framework-cryptotokenkit"", ""pyobjc-framework-datadetection"", ""pyobjc-framework-devicecheck"", ""pyobjc-framework-devicediscoveryextension"", ""pyobjc-framework-dictionaryservices"", ""pyobjc-framework-discrecording"", ""pyobjc-framework-discrecordingui"", ""pyobjc-framework-diskarbitration"", ""pyobjc-framework-dvdplayback"", ""pyobjc-framework-eventkit"", ""pyobjc-framework-exceptionhandling"", ""pyobjc-framework-executionpolicy"", ""pyobjc-framework-extensionkit"", ""pyobjc-framework-externalaccessory"", ""pyobjc-framework-fileprovider"", ""pyobjc-framework-fileproviderui"", ""pyobjc-framework-findersync"", ""pyobjc-framework-fsevents"", ""pyobjc-framework-fskit"", ""pyobjc-framework-gamecenter"", ""pyobjc-framework-gamecontroller"", ""pyobjc-framework-gamekit"", ""pyobjc-framework-gameplaykit"", ""pyobjc-framework-healthkit"", ""pyobjc-framework-imagecapturecore"", ""pyobjc-framework-inputmethodkit"", ""pyobjc-framework-installerplugins"", ""pyobjc-framework-instantmessage"", ""pyobjc-framework-intents"", ""pyobjc-framework-intentsui"", ""pyobjc-framework-iobluetooth"", ""pyobjc-framework-iobluetoothui"", ""pyobjc-framework-iosurface"", ""pyobjc-framework-ituneslibrary"", ""pyobjc-framework-kernelmanagement"", ""pyobjc-framework-latentsemanticmapping"", ""pyobjc-framework-launchservices"", ""pyobjc-framework-libdispatch"", ""pyobjc-framework-libxpc"", ""pyobjc-framework-linkpresentation"", ""pyobjc-framework-localauthentication"", ""pyobjc-framework-localauthenticationembeddedui"", ""pyobjc-framework-mailkit"", ""pyobjc-framework-mapkit"", ""pyobjc-framework-mediaaccessibility"", ""pyobjc-framework-mediaextension"", ""pyobjc-framework-medialibrary"", ""pyobjc-framework-mediaplayer"", ""pyobjc-framework-mediatoolbox"", ""pyobjc-framework-metal"", ""pyobjc-framework-metalfx"", ""pyobjc-framework-metalkit"", ""pyobjc-framework-metalperformanceshaders"", ""pyobjc-framework-metalperformanceshadersgraph"", ""pyobjc-framework-metrickit"", ""pyobjc-framework-mlcompute"", ""pyobjc-framework-modelio"", ""pyobjc-framework-multipeerconnectivity"", ""pyobjc-framework-naturallanguage"", ""pyobjc-framework-netfs"", ""pyobjc-framework-network"", ""pyobjc-framework-networkextension"", ""pyobjc-framework-notificationcenter"", ""pyobjc-framework-opendirectory"", ""pyobjc-framework-osakit"", ""pyobjc-framework-oslog"", ""pyobjc-framework-passkit"", ""pyobjc-framework-pencilkit"", ""pyobjc-framework-phase"", ""pyobjc-framework-photos"", ""pyobjc-framework-photosui"", ""pyobjc-framework-preferencepanes"", ""pyobjc-framework-pushkit"", ""pyobjc-framework-quartz"", ""pyobjc-framework-quicklookthumbnailing"", ""pyobjc-framework-replaykit"", ""pyobjc-framework-safariservices"", ""pyobjc-framework-safetykit"", ""pyobjc-framework-scenekit"", ""pyobjc-framework-screencapturekit"", ""pyobjc-framework-screensaver"", ""pyobjc-framework-screentime"", ""pyobjc-framework-scriptingbridge"", ""pyobjc-framework-searchkit"", ""pyobjc-framework-security"", ""pyobjc-framework-securityfoundation"", ""pyobjc-framework-securityinterface"", ""pyobjc-framework-securityui"", ""pyobjc-framework-sensitivecontentanalysis"", ""pyobjc-framework-servicemanagement"", ""pyobjc-framework-sharedwithyou"", ""pyobjc-framework-sharedwithyoucore"", ""pyobjc-framework-shazamkit"", ""pyobjc-framework-social"", ""pyobjc-framework-soundanalysis"", ""pyobjc-framework-speech"", ""pyobjc-framework-spritekit"", ""pyobjc-framework-storekit"", ""pyobjc-framework-symbols"", ""pyobjc-framework-syncservices"", ""pyobjc-framework-systemconfiguration"", ""pyobjc-framework-systemextensions"", ""pyobjc-framework-threadnetwork"", ""pyobjc-framework-uniformtypeidentifiers"", ""pyobjc-framework-usernotifications"", ""pyobjc-framework-usernotificationsui"", ""pyobjc-framework-videosubscriberaccount"", ""pyobjc-framework-videotoolbox"", ""pyobjc-framework-virtualization"", ""pyobjc-framework-vision"", ""pyobjc-framework-webkit"", ""pyopengl"", ""pyparsing"", ""pyqtgraph"", ""pyside6"", ""pyside6-addons"", ""pyside6-essentials"", ""pytest"", ""python-dateutil"", ""python-xlib"", ""pytz"", ""pywin32"", ""pywinbox"", ""pywinctl"", ""pyyaml"", ""pyyaml-env-tag"", ""pyzmq"", ""requests"", ""rtoml"", ""ruff"", ""scipy"", ""sentencepiece"", ""shiboken6"", ""six"", ""smmap"", ""sounddevice"", ""stack-data"", ""tomli"", ""tornado"", ""traitlets"", ""typing-extensions"", ""tzdata"", ""urllib3"", ""virtualenv"", ""watchdog"", ""wcwidth""]"
Qualitative coding for computer scientists,Python,"[""alabaster"", ""annotated-types"", ""babel"", ""blis"", ""catalogue"", ""certifi"", ""charset-normalizer"", ""click"", ""cloudpathlib"", ""colorama"", ""confection"", ""cymem"", ""docutils"", ""elementpath"", ""greenlet"", ""idna"", ""imagesize"", ""jinja2"", ""langcodes"", ""language-data"", ""marisa-trie"", ""markdown-it-py"", ""markupsafe"", ""mdurl"", ""more-itertools"", ""murmurhash"", ""numpy"", ""optional"", ""packaging"", ""preshed"", ""pydantic"", ""pydantic-core"", ""pygments"", ""pyyaml"", ""requests"", ""rich"", ""semver"", ""setuptools"", ""shellingham"", ""smart-open"", ""snowballstemmer"", ""spacy"", ""spacy-legacy"", ""spacy-loggers"", ""sphinx"", ""sphinx-rtd-theme"", ""sphinx_rtd_theme"", ""sphinxcontrib-applehelp"", ""sphinxcontrib-devhelp"", ""sphinxcontrib-htmlhelp"", ""sphinxcontrib-jquery"", ""sphinxcontrib-jsmath"", ""sphinxcontrib-qthelp"", ""sphinxcontrib-serializinghtml"", ""sqlalchemy"", ""srsly"", ""structlog"", ""tabulate"", ""thinc"", ""tqdm"", ""typer"", ""typing-extensions"", ""typing-inspection"", ""urllib3"", ""wasabi"", ""weasel"", ""webvtt-py"", ""wrapt"", ""xmlschema""]"
OSS implementation of DOSAGE ,C++,[]
GEOS Simulation Framework,C++,"[""coreComponents"", ""docs"", ""externalComponents"", ""main"", ""pygeosx"", ""thirdparty""]"
Calculating carbon emissions in R,HTML,[]
Access HORIZONS and SPICE ephemeris sources with idiomatic Julia.,Julia,[]
Open-source statistical package in Python based on Pandas,Python,[]
Fraunhofer IWES optimization tools in Python,Python,"[""flake8"", ""ipykernel"", ""ipywidgets"", ""jupyter"", ""lxml_html_clean"", ""m2r2"", ""matplotlib"", ""nbsphinx"", ""numpy"", ""objsize"", ""pygmo"", ""pymoo"", ""pytest"", ""scipy"", ""sphinx"", ""sphinx-immaterial""]"
Numerical library for working with clean superconductors in Python using the Bogoliubov-de Gennes formalism,Python,"[""beartype"", ""black"", ""cupy"", ""flit"", ""isort"", ""numpy"", ""pytest"", ""pytest-cov"", ""quarto"", ""scipy""]"
[P]lanetary [D]ata [R]eader - A single function to read all Planetary Data System (PDS) data into Python,Python,"[""Levenshtein"", ""astropy"", ""dustgoggles"", ""jupyter"", ""more_itertools"", ""multidict"", ""numpy"", ""pandas"", ""pillow"", ""pvl"", ""pytest"", ""rms-vax""]"
Mirror of the gitlab umami project,Python,
,,
"Internal Cluster Validity Indices in python, compatible with time-series data",Python,
VisualTorch aims to help visualize Torch-based neural network architectures.,Python,
,,
A fast and accurate binning refinement tool to constructs high quality MAGs from the output of multiple binning tools.,Python,
A Python package to calculate cross sections for substellar atmospheres,Python,
Solvers and preconditioners for the Gridap ecosystem.,Julia,
Python based toolbox for processing motion data,Python,
Modular Julia-based agent framework to implement multi-agent systems,Julia,
Efficient random sampling via linear interpolation.,Python,
A shiny app that was developed to improve the FAIR of research data hosted on data repository.,R,
Bayesian network analysis in R,R,
A Python package for analysing the cGENIE model output,Roff,
Probabilistic Numerical Differential Equation solvers via Bayesian filtering and smoothing,Julia,[]
Mulitprecision Arrays,Julia,[]
A sandbox billiards game that emphasizes realistic physics,Python,"[""Pillow"", ""alabaster"", ""anyio"", ""appnope"", ""argon2-cffi"", ""argon2-cffi-bindings"", ""arrow"", ""astroid"", ""asttokens"", ""async-lru"", ""attrs"", ""babel"", ""beautifulsoup4"", ""bleach"", ""build"", ""cachecontrol"", ""cattrs"", ""certifi"", ""cffi"", ""cfgv"", ""charset-normalizer"", ""classifiers"", ""cleo"", ""click"", ""colorama"", ""comm"", ""contourpy"", ""coverage"", ""crashtest"", ""cryptography"", ""cycler"", ""debugpy"", ""decorator"", ""defusedxml"", ""distlib"", ""documentation"", ""docutils"", ""dulwich"", ""dunamai"", ""exceptiongroup"", ""executing"", ""fastjsonschema"", ""filelock"", ""fonttools"", ""fqdn"", ""furo"", ""h11"", ""h5py"", ""homepage"", ""httpcore"", ""httpx"", ""identify"", ""idna"", ""imagesize"", ""importlib-metadata"", ""iniconfig"", ""installer"", ""ipdb"", ""ipykernel"", ""ipython"", ""isoduration"", ""jaraco-classes"", ""jedi"", ""jeepney"", ""jinja2"", ""json5"", ""jsonpointer"", ""jsonschema"", ""jsonschema-specifications"", ""jupyter-client"", ""jupyter-core"", ""jupyter-events"", ""jupyter-lsp"", ""jupyter-server"", ""jupyter-server-terminals"", ""jupyterlab"", ""jupyterlab-pygments"", ""jupyterlab-server"", ""keyring"", ""keywords"", ""kiwisolver"", ""lark"", ""license"", ""llvmlite"", ""maintainers"", ""markdown-it-py"", ""markupsafe"", ""matplotlib"", ""matplotlib-inline"", ""mdit-py-plugins"", ""mdurl"", ""mistune"", ""more-itertools"", ""msgpack"", ""msgpack-numpy"", ""myst-parser"", ""narwhals"", ""nbclient"", ""nbconvert"", ""nbformat"", ""nbsphinx"", ""nest-asyncio"", ""nodeenv"", ""notebook-shim"", ""numba"", ""numpy"", ""numpy-quaternion"", ""optional"", ""overrides"", ""packaging"", ""panda3d"", ""panda3d-gltf"", ""panda3d-simplepbr"", ""pandas"", ""pandocfilters"", ""parso"", ""pexpect"", ""pillow"", ""pkginfo"", ""platformdirs"", ""plotly"", ""pluggy"", ""poetry"", ""poetry-core"", ""poetry-dynamic-versioning"", ""poetry-plugin-export"", ""pprofile"", ""pre-commit"", ""prometheus-client"", ""prompt-toolkit"", ""psutil"", ""ptyprocess"", ""pure-eval"", ""pycparser"", ""pygments"", ""pyparsing"", ""pyproject-hooks"", ""pyright"", ""pytest"", ""pytest-cov"", ""python"", ""python-dateutil"", ""python-json-logger"", ""pytz"", ""pywin32"", ""pywin32-ctypes"", ""pywinpty"", ""pyyaml"", ""pyzmq"", ""rapidfuzz"", ""readme"", ""referencing"", ""repository"", ""requests"", ""requests-toolbelt"", ""rfc3339-validator"", ""rfc3986-validator"", ""rfc3987-syntax"", ""rich"", ""rpds-py"", ""ruff"", ""run-pooltool"", ""scipy"", ""secretstorage"", ""send2trash"", ""setuptools"", ""shellingham"", ""six"", ""sniffio"", ""snowballstemmer"", ""soupsieve"", ""sphinx"", ""sphinx-autoapi"", ""sphinx-autobuild"", ""sphinx-basic-ng"", ""sphinx-copybutton"", ""sphinx-tabs"", ""sphinx-togglebutton"", ""sphinxcontrib-applehelp"", ""sphinxcontrib-devhelp"", ""sphinxcontrib-htmlhelp"", ""sphinxcontrib-jsmath"", ""sphinxcontrib-qthelp"", ""sphinxcontrib-serializinghtml"", ""stack-data"", ""starlette"", ""terminado"", ""tinycss2"", ""tomli"", ""tomlkit"", ""tornado"", ""traitlets"", ""trove-classifiers"", ""types-python-dateutil"", ""typing-extensions"", ""tzdata"", ""uri-template"", ""urllib3"", ""uvicorn"", ""virtualenv"", ""watchfiles"", ""wcwidth"", ""webcolors"", ""webencodings"", ""websocket-client"", ""websockets"", ""wheel"", ""xattr"", ""zipp""]"
DelaunayTriangulation.jl: A Julia package for Delaunay triangulations and Voronoi tessellations in the plane,Julia,[]
A computer vision pipeline for exploring and analyzing images at scale,Python,"[""Cython"", ""PyYAML"", ""Shapely"", ""aiohttp"", ""azure-storage-blob"", ""black"", ""cartopy"", ""fiona"", ""flake8"", ""geopandas"", ""geopy"", ""ipyannotate"", ""ipykernel"", ""ipywidgets"", ""isodate"", ""joblib"", ""jupyter"", ""jupyter-console"", ""jupyterlab-widgets"", ""mapclassify"", ""matplotlib"", ""myst-parser"", ""nbsphinx"", ""nest-asyncio"", ""numpy"", ""opencv-python"", ""pandas"", ""pandoc"", ""parhugin"", ""pyogrio"", ""pyproj"", ""pytest"", ""pytest-cov"", ""rasterio"", ""scikit-image"", ""scikit-learn"", ""simplekml"", ""sphinx-autoapi"", ""sphinx-autobuild"", ""sphinx-copybutton"", ""sphinx-togglebutton"", ""sphinx_rtd_theme"", ""sphinxcontrib-napoleon"", ""sphinxemoji"", ""tensorboard"", ""timm"", ""torchinfo"", ""tqdm"", ""transformers"", ""versioneer"", ""widgetsnbextension"", ""xyzservices""]"
,,
GluPredKit aims to make blood glucose model training and prediction more accessible. ,Python,"[""aiohttp"", ""click"", ""dill"", ""error-grids"", ""matplotlib"", ""methcomp"", ""numpy"", ""pandas"", ""python-dotenv"", ""python-nightscout"", ""reportlab"", ""scikit-learn"", ""seaborn"", ""svglib"", ""tidepool-data-science-project"", ""wandb"", ""zipfile_deflate64""]"
,,
Blazing fast nuclei segmentation for brightfield Whole Slide Images,Jupyter Notebook,[]
,,
the simple alchemistry library,Python,"[""alchemtest"", ""joblib"", ""loguru"", ""matplotlib"", ""numpy"", ""pandas"", ""pyarrow"", ""pymbar"", ""pytest"", ""scikit-learn"", ""scipy""]"
Program for computing the Lorenz Energy Cycle (LEC) in a closed region of the atmosphere.,Python,"[""Babel"", ""Cartopy"", ""Jinja2"", ""MarkupSafe"", ""MetPy"", ""Pint"", ""PyYAML"", ""Pygments"", ""Sphinx"", ""alabaster"", ""appdirs"", ""attrs"", ""autoflake"", ""autopep8"", ""cads-api-client"", ""cdsapi"", ""certifi"", ""cffi"", ""cfgrib"", ""cftime"", ""charset-normalizer"", ""click"", ""cloudpickle"", ""cmocean"", ""contourpy"", ""cycler"", ""cyclophaser"", ""dask"", ""docutils"", ""eccodes"", ""findlibs"", ""flake8"", ""flexcache"", ""flexparser"", ""fonttools"", ""fsspec"", ""h5netcdf"", ""h5py"", ""idna"", ""imagesize"", ""importlib_metadata"", ""iniconfig"", ""isort"", ""kiwisolver"", ""locket"", ""lorenz-phase-space"", ""matplotlib"", ""mccabe"", ""multiurl"", ""netCDF4"", ""numpy"", ""packaging"", ""pandas"", ""partd"", ""pillow"", ""platformdirs"", ""pluggy"", ""pooch"", ""pycodestyle"", ""pycparser"", ""pyflakes"", ""pyparsing"", ""pyproj"", ""pyshp"", ""pytest"", ""python-dateutil"", ""pytz"", ""requests"", ""scipy"", ""setuptools"", ""shapely"", ""six"", ""snowballstemmer"", ""sphinxcontrib-applehelp"", ""sphinxcontrib-devhelp"", ""sphinxcontrib-htmlhelp"", ""sphinxcontrib-jsmath"", ""sphinxcontrib-qthelp"", ""sphinxcontrib-serializinghtml"", ""toolz"", ""tqdm"", ""traitlets"", ""typing_extensions"", ""tzdata"", ""urllib3"", ""wheel"", ""xarray"", ""zipp""]"
Local Likelihood Inference for Conditional Copulas,R,"[""RcppEigen"", ""TMB"", ""VineCopula"", ""bookdown"", ""dplyr"", ""ggplot2"", ""kableExtra"", ""knitr"", ""parallel"", ""readr"", ""rmarkdown"", ""testthat"", ""tidyr""]"
Compute 2D human pose and angles from a video or a webcam. ,Jupyter Notebook,[]
Package to process images stacks (typically from 3D FIB-SEM),Python,"[""Pillow"", ""PyWavelets"", ""lxml"", ""matplotlib"", ""numpy"", ""parse"", ""pystack3d-napari"", ""pystackreg"", ""pyvsnr"", ""scikit-image"", ""scipy"", ""statsmodels"", ""tifffile"", ""tomli"", ""tomlkit""]"
,Rust,[]
"A Python library for phylogenetic scripting, simulation, data processing and manipulation.",Python,"[""alabaster"", ""babel"", ""certifi"", ""charset-normalizer"", ""docutils"", ""idna"", ""imagesize"", ""jinja2"", ""markupsafe"", ""packaging"", ""pockets"", ""pygments"", ""requests"", ""six"", ""snowballstemmer"", ""sphinx"", ""sphinxcontrib-applehelp"", ""sphinxcontrib-devhelp"", ""sphinxcontrib-htmlhelp"", ""sphinxcontrib-jsmath"", ""sphinxcontrib-napoleon"", ""sphinxcontrib-qthelp"", ""sphinxcontrib-serializinghtml"", ""urllib3""]"
Orbit-fitting for directly imaged objects,Python,"[""astropy"", ""astroquery"", ""corner"", ""cython"", ""deprecation"", ""dynesty"", ""emcee"", ""h5py"", ""ipykernel"", ""matplotlib"", ""nbsphinx"", ""numpy"", ""pandas"", ""pandoc"", ""ptemcee_for_orbitize"", ""pyerfa"", ""pytest"", ""rebound"", ""scipy"", ""sphinx_rtd_theme""]"
An RL environment made for wildfire evacuation.,Python,[]
A Julia package to manipulate very small IEEE 754 standard-compliant floating-point numbers.,Julia,[]
Library of tools used to support spatial analyses of solar energy,Python,[]
Bayesian Hierarchical Models for Identifying Non-Adherence in Mobile Menstrual Cycle Tracking,R,"[""LaplacesDemon"", ""doParallel"", ""foreach"", ""genMCMCDiag"", ""ggplot2"", ""ggtext"", ""glmnet"", ""gridExtra"", ""knitr"", ""lifecycle"", ""mvtnorm"", ""optimg"", ""parallel"", ""rmarkdown"", ""stats"", ""testthat"", ""utils""]"
software to identify primers that can distinguish genomes,Python,[]
AIgarMIC – machine-learning assisted agar dilution software,Python,"[""AIgarMIC"", ""aigarmic"", ""anyascii"", ""clean_up_annotations"", ""coverage"", ""imutils"", ""license"", ""manual_annotator"", ""matplotlib"", ""model_performance"", ""mypy-extensions"", ""myst-nb"", ""numpy"", ""opencv-python"", ""opencv-python-headless"", ""pip-chill"", ""pylint"", ""pytest"", ""pytest-cov"", ""python"", ""readme"", ""rename_images"", ""scikit-learn"", ""sphinx"", ""sphinx-argparse"", ""sphinx-autoapi"", ""sphinx-rtd-theme"", ""tensorboard-plugin-wit"", ""tensorflow"", ""tensorflow-macos"", ""train_modular""]"
